business_id,name
yM8LlTInbQH4FwWC97lz6w,McDonald's
aNXw3PkXVt8ANwLyCfcmpg,McDonald's
gb7JjRJtzWDsIWpJihZhBQ,McDonald's
9qxMhGWjGsuPUoQB3Y74Wg,McDonald's
A1lAqN3SOaBLoo6NqVcy4Q,McDonald's
kLSEk3qXY1KdtFjxHJ9pww,McDonald's
wcpL6sD6jKsBO0tbdK2KEA,McDonald's
kgMEBZG6rjkGeFzPaIM4MQ,McDonald's
cwvpVlg5BE2XXRWTHe3p9w,McDonald's
N7wYxm84QtcqTJZfGWpxzw,McDonald's
aqubLw9IW03svL_uDXNJ8A,McDonald's
NyV_2EGhs-YHYYVmZRYmOQ,McDonald's
Jn5nZ0b-cdBS2xHnF4msug,McDonald's
3bmrxhqVpB5XCg-4j6y39A,McDonald's
3_kZ2pDiKJLZ9kGKKOWqdA,McDonald's
L3u4I6wHtwMQJ-ZtvfrkkQ,McDonald's
7YiLEuHuUONZrMPT0OxXUQ,McDonald's
CxoRg-ZcXdpqXWmUJliYog,McDonald's
2gTnSpYBmg_5JubGpCtSQQ,McDonald's
y0pfoNQOyrb98aEIdH6cnA,McDonald's
59fWFpyDg01BTEH-Hh6jdw,McDonald's
eOeKgRKbs-iAsIEOmHTrYg,McDonald's
gq4zw-ru_rkZ2UBIanaZFQ,McDonald's
9DhjKaR2f9wKATnUvxBAgg,McDonald's
zSEqhlaHqY8sIDxznturEQ,McDonald's
RPLPto1ejkyE8vsGOV5phg,McDonald's
HvFHRwDDu36nBGSyEv81WQ,McDonald's
8ZHMr31oBElXmaqSmZJs2Q,McDonald's
6jNFUIKiCCKnLCpGJpkyrg,McDonald's
-7Rx5jVeQmlVoAU_oXrzew,McDonald's
rH0FgPdxWWhH4YFz4mempg,McDonald's
5ewePyN_mEE_79OmYyYBEA,McDonald's
iJOwwuhHP_0BCHmpmJ8l4Q,McDonald's
-9yzQQ0d_rcOD2CzdTNO_Q,McDonald's
zdG9d52hqH0JIk65LQzcaA,McDonald's
nROgQ9JIN0sjv-i5R1rHcA,McDonald's
5D-Gjagh385iopO3xqjjIQ,McDonald's
ZznSNkRERGH8l-wSFJKsEA,McDonald's
ksma5FPvWkaZvcwHz_bZPA,McDonald's
QSA-x2bb3kum9QLFpy7vUg,McDonald's
P0u1f6ea6LsyB8m1CXXyNw,McDonald's
6rZkogALtWhE57DpWhK6ow,McDonald's
W0JwMDaPz4KxJPqiUuh45A,McDonald's
fFA6bjWbq724vB1tW4V9pQ,McDonald's
mvJazJqQvm7CO7kykpDptg,McDonald's
xYmyJQiCnsMdxHpMQomxqQ,McDonald's
9SVub2VmfgMmyqe3KQh3bA,McDonald's
_RHKuqA3mCHBaNyoljJTrQ,McDonald's
c4x06huNhVp04VI_MUiQsw,McDonald's
jSP0rpPCYJ-FvW6yydY8Mg,McDonald's
wCWtAobVuZ0N7XJTb1ugGA,McDonald's
HoXdBq2Puaj69d8z6lgiVw,McDonald's
eqLgpNj0DnRpMj63IfGVeA,McDonald's
CGK0IuZi9rvdRyB3oxHMnQ,McDonald's
wPwxfwrSNMmqxEHMzGG1Jw,McDonald's
WhzPmavp93LcoFVZSELUSw,McDonald's
Bc_Bw3dLw5S5hXM8UCFoqw,McDonald's
3w7NRntdQ9h0KwDsksIt5Q,McDonald's
2KjXarF28RIn7_APW1b7qA,McDonald's
5OpUORgAc84h2Z4ctxKCiA,McDonald's
e8bOuDRCsHOb5IqQrapT2Q,McDonald's
3RRvxFR5V_p4NicI7DGVEA,McDonald's
V2hqC0b1d6Yn0JMGg4DCPA,McDonald's
MYVWCT18urcDDPl7nJ5cFg,McDonald's
7a3P2nje3j65pX6d5xYCvA,McDonald's
_3VCzu9a79nrU0YA-WvUCg,McDonald's
PjknD8uD_0tisZQbomiYoQ,McDonald's
JaHuWM3Tp1aG7NW66mhutw,McDonald's
35BuVcbDU7D9mjmruxmnEw,McDonald's
y5fT2Nx49cWtmQTJzkphmg,McDonald's
nGFWg8F1dvDW3iasvyOEBg,McDonald's
3kFs_QlJ64oZ2qPu0WqaWw,McDonald's
qXctAMyV6n9PSjPQuUSEpw,McDonald's
